Brand Name,Model Name,Form Factor,Product Processor Socket Count,Available Expansion Slots,Available DIMM Slots,Maximum Memory Capacity (GB),Maximum Number Blade Slots,Installed Processors for Low-end Performance Configuration,Installed Processors for Typical or Single Configuration,Installed Processors for High-end Performance Configuration,Cores Per Processor Low-end Performance Configuration,Cores Per Processor Typical or Single Configuration,Cores Per Processor High-end Performance Configuration,Number of Threads for Low-end Performance Configuration,Number of Threads for Typical or Single Configuration,Number of Threads for High-end Performance Configuration,Processor Brand Typical or Single Configuration,Processor Speed for Low-end Performance Configuration (GHz),Processor Speed for Typical or Single Configuration (GHz),Processor Speed for High-end Performance Configuration (GHz),Num. of DDR Channels for Low-end Performance Configuration,Num. of DDR Channels for Typical or Single Configuration,Num. of DDR Channels for High-end Performance Configuration,Memory Speed Low-end Performance Configuration (GHz),Memory Speed Typical or Single Configuration (GHz),Memory Speed High-end Performance Configuration (GHz),Installed Num. DIMMs for Low-end Performance Configuration,Installed Num. DIMMs for Typical or Single Configuration,Installed Num. DIMMs for High-end Performance Configuration,Installed Memory for Low-end Performance Configuration (GB),Installed Memory for Typical or Single Configuration (GB),Installed Memory for High-end Performance Configuration (GB),Num. Solid State Drives (SSDs) Low-end Performance Configuration,Num. Solid State Drives (SSDs) Typical or Single Configuration,Num. Solid State Drives (SSDs) High-end Performance Configuration,Number Rotational Drives Low-end Performance Configuration,Number Rotational Drives Typical or Single Configuration,Number Rotational Drives High-end Performance Configuration,Power Supply Rated Output Low-end Performance Configuration (W),Power Supply Rated Output Typical or Single Configuration (W),Power Supply Rated Output High-end Performance Configuration (W),Num. Power Supplies for Low-end Performance Configuration,Num. Power Supplies for Typical or Single Configuration,Num. Power Supplies for High-end Performance Configuration,Number of PSU for Redundancy Low-end Performance Configuration,Number of PSU for Redundancy Typical or Single Configuration,Number of PSU for Redundancy High-end Performance Configuration,SERT Compress Eff. Score for Low-end Performance Configuration,SERT Compress Eff. Score for Typical or Single Configuration,SERT Compress Eff. Score for High-end Performance Configuration,SERT CryptoAES Efficiency Score Low-end Performance Configuration,SERT CryptoAES Efficiency Score Typical or Single Configuration,SERT CryptoAES Efficiency Score High-end Performance Configuration,SERT LU Efficiency Score Low-end Performance Configuration,SERT LU Efficiency Score Typical or Single Configuration,SERT LU Efficiency Score High-end Performance Configuration,SERT SOR Efficiency Score Low-end Performance Configuration,SERT SOR Efficiency Score Typical or Single Configuration,SERT SOR Efficiency Score High-end Performance Configuration,SERT SORT Efficiency Score Low-end Performance Configuration,SERT SORT Efficiency Score Typical or Single Configuration,SERT SORT Efficiency Score High-end Performance Configuration,SERT SHA256 Efficiency Score Low-end Performance Configuration,SERT SHA256 Efficiency Score Typical or Single Configuration,SERT SHA256 Efficiency Score High-end Performance Configuration,SERT Flood Efficiency Score Low-end Performance Configuration,SERT Flood Efficiency Score Typical or Single Configuration,SERT Flood Efficiency Score High-end Performance Configuration,SERT Capacity Efficiency Score Low-end Performance Configuration,SERT Capacity Efficiency Score Typical or Single Configuration,SERT Capacity Efficiency Score High-end Performance Configuration,SERT Sequential Efficiency Score Low-end Performance Configuration,SERT Sequential Efficiency Score Typical or Single Configuration,SERT Sequential Efficiency Score High-end Performance Configuration,SERT Random Efficiency Score Low-end Performance Configuration,SERT Random Efficiency Score Typical or Single Configuration,SERT Random Efficiency Score High-end Performance Configuration,SERT SSJ Efficiency Score Low-end Performance Configuration,SERT SSJ Efficiency Score Typical or Single Configuration,SERT SSJ Efficiency Score High-end Performance Configuration,SERT Idle Measurement (Watts) Low-end Performance Configuration,SERT Active State Efficiency Score Low-end Performance Configuration,SERT Total Server Normalized Performance Score Low-end Performance Configuration,SERT Total Server Power Score  (Watts) Low-end Performance Configuration,SERT Idle Measurement (Watts) Typical or Single Configuration,SERT Active State Efficiency Score Typical or Single Configuration,SERT Total Server Normalized Performance Score Typical or Single Configuration,SERT Total Server Power Score (Watts) Typical or Single Configuration,SERT Idle Measurement (Watts) High-end Performance Configuration,SERT Active State Efficiency Score High-end Performance Configuration,SERT Total Server Normalized Performance Score High-end Performance Configuration,SERT Total Server Power Score (Watts) High-end Performance Configuration,Tested Num. Blade Slots Low-end Performance Configuration,Tested Num. Blade Slots Typical or Single Configuration,Tested Num. Blade Slots High-end Performance Configuration
Ace Computers,Powerworks 1AA15PWTR,Rack-mount,1,3,6,192,,1,1,1,8,16,8,16,32,16,Intel,2,2,3.9,6,6,6,2.4,2.4,2.4,1,2,6,32,64,192,0,0,0,1,2,4,500,500,500,2,2,2,2,2,2,9.95,11.49,8.46,8.94,9.9,13.4,14.46,18.38,10.92,,9.71,6.05,8.56,10.42,6.47,13.39,16.66,10.1,4.13,2.9,3.14,20.96,26.12,12.71,7.92,10.45,17.82,15.02,18.22,29.92,7.67,8.62,7.42,71.5,12.1,,,116.3,15,15,116.3,141.5,13.6,,,,,
Ace Computers,Powerworks 1AA25UTRT,Rack-mount,2,3,24,768,,2,2,2,8,24,8,16,48,16,Intel,2.1,2,3,6,6,6,2.66,2.66,2.66,2,12,24,63.7,382.7,766.7,1,4,4,1,6,12,1000,1000,1000,2,2,2,2,2,2,9.98,12.6,9.32,9.45,20.19,14.81,16.04,17.38,3.17,,9.5,7.43,9.27,10.21,7.89,14.34,15.74,12.29,3.3,3.53,1.96,24.78,27.09,22.83,81.77,84.16,53.04,985.21,1384.97,904.35,7.33,9.53,7.29,110.6,16.3,,,144.9,25.7,653.73,3796.7,269.5,20.4,,,,,
Ace Computers,Powerworks 2AA15PWTR,Rack-mount,1,3,6,192,,1,1,1,8,16,8,16,32,16,Intel,2,2,3.9,6,6,6,2.4,2.4,2.4,1,2,6,32,64,192,0,0,0,1,2,4,500,500,500,2,2,2,2,2,2,9.95,11.49,8.46,8.94,9.9,13.4,14.46,18.38,10.92,,9.71,6.05,8.56,10.42,6.47,13.39,16.66,10.1,4.13,2.9,3.14,20.96,26.12,12.71,7.92,10.45,17.82,15.02,18.22,29.92,7.67,8.62,7.42,71.5,12.1,,,116.3,15,15,116.3,141.5,13.6,,,,,
Ace Computers,Powerworks 2AA25UTRT,Rack-mount,2,3,24,768,,2,2,2,8,24,8,16,48,16,Intel,2.1,2,3,6,6,6,2.66,2.66,2.66,2,12,24,63.7,382.7,766.7,1,4,4,1,6,12,1000,1000,1000,2,2,2,2,2,2,9.98,12.6,9.32,9.45,20.19,14.81,16.04,17.38,3.17,,9.5,7.43,9.27,10.21,7.89,14.34,15.74,12.29,3.3,3.53,1.96,24.78,27.09,22.83,81.77,84.16,53.04,985.21,1384.97,904.35,7.33,9.53,7.29,110.6,16.3,,,144.9,25.7,653.73,3796.7,269.5,20.4,,,,,
Ace Computers,Powerworks 4AA25UTRT,Rack-mount,2,3,24,768,,2,2,2,8,24,8,16,48,16,Intel,2.1,2,3,6,6,6,2.66,2.66,2.66,2,12,24,63.7,382.7,766.7,1,4,4,1,6,12,1000,1000,1000,2,2,2,2,2,2,9.98,12.6,9.32,9.45,20.19,14.81,16.04,17.38,3.17,,9.5,7.43,9.27,10.21,7.89,14.34,15.74,12.29,3.3,3.53,1.96,24.78,27.09,22.83,81.77,84.16,53.04,985.21,1384.97,904.35,7.33,9.53,7.29,110.6,16.3,,,144.9,25.7,653.73,3796.7,269.5,20.4,,,,,
Ace Computers,Powerworks 4TAA25UTRT,Tower/Pedestal,2,3,24,768,,2,2,2,8,24,8,16,48,16,Intel,2.1,2,3,6,6,6,2.66,2.66,2.66,2,12,24,63.7,382.7,766.7,1,4,4,1,6,12,1000,1000,1000,2,2,2,2,2,2,9.98,12.6,9.32,9.45,20.19,14.81,16.04,17.38,3.17,,9.5,7.43,9.27,10.21,7.89,14.34,15.74,12.29,3.3,3.53,1.96,24.78,27.09,22.83,81.77,84.16,53.04,985.21,1384.97,904.35,7.33,9.53,7.29,110.6,16.3,,,144.9,25.7,653.73,3796.7,269.5,20.4,,,,,
CISCO,UCSB-B200-M6,Blade - Half Chassis,2,2,16,8000,8,2,2,2,8,16,40,8,32,80,Intel,2.8,3.1,2.3,32,32,32,2.8,2.8,2.8,64,64,64,250,250,50,2,2,2,0,0,0,2500,2500,2500,2,2,2,2,,2,9.81,14.94,19.85,16.12,20.54,23.09,14.67,21.23,31.26,,11.37,17.6,6.7,10.3,15.97,82.15,127.78,192.49,5.36,4.93,10.95,11.58,14.54,52.87,18.65,11.31,13.53,221.89,148.95,152.52,8.9,13.52,19.23,749.8,21.17,,,890.3,27.45,27.4,22.58,859.7,37.04,,,4,4,4
CISCO,UCSB-B200-M6,Blade - Half Chassis,2,2,8,8000,8,1,1,1,8,16,40,8,16,40,Intel,2.8,3.1,2.3,32,32,32,3.2,3.2,3.2,8,8,8,125,125,250,2,2,2,0,0,0,2500,2500,2500,2,2,2,2,2,2,7.84,13.18,18.9,13.44,18.86,22.51,11.81,18.65,29.4,,9.43,15.55,5.2,8.59,14.26,63.51,107.04,175.88,7.22,6.43,4.53,9.75,13.77,18.25,26.71,20.95,21.82,330.61,265.98,210.79,6.88,11.44,17,559.9,16.99,,,584.4,23.85,23.8,146.1,596.6,34.11,,,4,4,4
CISCO,UCSB-B480-M5,Blade - Half Chassis,4,2,48,6000,4,2,4,4,10,20,28,40,80,112,Intel,2.4,2.5,2.7,24,24,48,2.66,2.93,2.93,24,24,48,384,768,3072,2,2,2,0,0,0,250,1251,2501,2,2,2,2,2,2,11.43,16.43,14.7,18.55,24.53,18.36,15.44,24.49,22.06,,13.58,13.03,10.73,14.3,13.56,16.73,22.73,22.18,3.55,2.46,1.06,23.99,47.97,28.67,20.56,14.42,13.97,223.96,156.92,142.2,9.4,12.64,12.55,611.6,23,32.85,947.96,1115.3,32.5,71.2,1716.47,24.62,189.47,20.56,223.96,4,4,4
CISCO,UCSB-B200-M5,Blade - Half Chassis,2,2,24,3000,,2,2,2,8,20,28,16,40,56,Intel,1.8,2.5,2.7,12,12,24,2.63,2.93,2.93,12,12,24,187.5,375,3000,2,2,2,0,0,0,2500,2500,2500,2,2,2,2,,2,9.57,17.35,14.95,15.85,24.81,19.58,12.44,24.93,25.51,,13.81,15.13,7.3,14.57,16.1,11.32,23.08,24.37,5.23,3.5,1.1,21.64,34.95,18.74,35.37,28.71,20.98,376.24,325.71,256.08,7.48,12.92,13.31,681.3,18.4,281.5,898.83,967.3,30.9,74.88,1664.97,1792.9,31.6,91.46,2047.12,4,4,4
CISCO,UCSX-210c-M6,Blade - Half Chassis,2,2,16,8000,8,2,2,2,8,16,40,8,16,80,Intel,2.8,3.1,2.3,32,32,32,3.2,3.2,3.2,16,16,16,0.2,0.2,500,2,2,2,0,0,0,2800,2800,2800,3,3,3,3,3,3,8.57,12.68,18.49,13.06,16.58,19.18,12.52,17.93,30.81,,9.96,17.89,6.09,8.8,15.46,75.44,109.18,196.48,147.85,138.56,2.59,-78.31,-113.89,16.28,16.21,13.34,12.92,220.95,164.36,129.35,7.02,10.56,15.71,953.8,17.9,,,1059.2,23.37,23.4,264.8,1104.4,33.74,,,4,4,4
Corelight,Sensor AP 1001,Rack-mount,2,0,12,768,,,2,,,12,,,24,,Intel,,2.1,,,12,,,2.6,,,12,,,192,,,1,,,4,,,750,,,2,,,1,,,13.34,,,2.3,,,18.98,,,8.05,,,8.64,,,15.48,,,5.92,,,26.1,,,26.58,,,323.93,,,10.32,,,,,,177.79,18.8,127.3,2483.67,,,,,,,
DELL,E69S,Rack-mount,2,3,32,2048,,2,2,2,8,24,40,32,96,160,Intel,2.8,2.1,2.3,0,0,0,3.2,3.2,3.2,16,16,16,128,256,512,0,0,0,2,2,2,800,800,800,2,2,2,2,2,2,13.29,22.18,25.55,19.52,31.51,29.75,19.73,32.03,35.21,,18.47,22.6,9.9,16.29,20.12,122.42,206.12,32.61,8.45,7.59,3.66,13.08,20.96,42.29,16.07,14.2,13.63,20.62,18.35,17.8,11.3,20.56,23.9,136.4,24.2,88.38,2700.65,151.9,39.4,227.71,3951.94,151.3,39.3,448.03,5699.54,,,
DELL,E94S,Rack-mount,2,5,24,3072,,,2,,,96,,,192,,AMD,,2.4,,,24,,,4.8,,,24,,,1536,,,0,,,2,,,2400,,,2,,,2,,,36.12,,,33.97,,,56.75,,,40.81,,,35.82,,,628.72,,,2.77,,,81.59,,,8.72,,,11.03,,,41.2,,,,,,238.4,80.8,2649.78,10539.4,,,,,,,
DELL,E94S,Rack-mount,2,5,24,3072,,,2,,,96,,,192,,AMD,,2.4,,,24,,,4.8,,,24,,,1536,,,0,,,2,,,2400,,,2,,,2,,,36.12,,,33.97,,,56.75,,,40.81,,,35.82,,,628.72,,,2.77,,,81.59,,,8.72,,,11.03,,,41.2,,,,,,238.4,80.8,2649.78,10539.4,,,,,,,
DELL,E41S,Rack-mount,4,13,48,1024,,4,4,4,6,20,56,48,160,448,Intel,3.4,2.1,2.7,24,24,24,2.66,2.93,2.93,24,24,24,192,384,768,0,0,0,2,2,2,2600,2600,2600,2,2,2,2,2,2,8.64,16.84,17.59,14.33,30.23,26.56,13.17,26.96,29.34,,15.96,17.91,7.14,15.41,18.37,12.37,27.16,28.82,5.38,4.65,2.35,15.7,39.93,39.99,12.65,5.81,5.01,30.74,16.39,13.15,7.67,14.99,15.37,157.6,16.2,114.88,5129.12,161.2,31.6,338.42,5938.55,187.3,32.4,706.94,8731.26,,,
DELL EMC,B14S,Multi-node,2,8,12,384,,2,2,2,8,12,18,16,24,36,Intel,2.1,2.2,2.1,12,8,8,2.4,2.4,2.4,8,8,8,128,128,256,0,0,0,2,2,2,1100,1100,1100,4,4,4,4,4,4,9.66,12.75,13.49,12.33,15.95,15.64,12.64,16.84,17.35,,12.32,13.72,9.23,12.95,14.11,12.55,17.73,19.78,5.66,5.66,2.92,19.13,22.94,22.63,9.79,9.69,7.21,13.9,13.97,10.74,8.45,11.09,11.2,286.4,16.1,91.53,4446.18,283.4,20.2,135.17,5185.05,364.2,20.7,219.8,7090.32,,,
DELL EMC,E43S,Multi-node,2,2,16,384,,2,2,2,4,20,28,8,40,56,Intel,2.6,2.1,2.7,12,12,12,2.67,2.93,2.93,12,12,12,96,192,384,0,0,2,2,2,0,1600,2000,2000,2,2,2,2,2,2,8.89,18.21,18.53,14.72,29.96,25.41,12.14,25.84,27.92,,15.24,16.94,6.34,16.11,16.92,10.7,25.05,26.65,8.6,6.08,3.03,19.1,39.61,36.64,20.5,18.26,5.09,15.83,14.26,15.98,7.12,14.28,14.56,311.1,15.5,137.66,6665.05,334.9,30,564.14,12258.74,368.4,29.3,1101.34,18790.31,,,
DELL EMC,E64S,Multi-node,2,2,16,2048,,2,2,2,8,32,38,32,128,152,Intel,2.8,2,2.6,8,8,8,3.2,3.2,3.2,16,16,16,512,2048,2048,0,0,0,2,6,6,1600,1600,2400,2,2,2,2,2,2,11.79,18,19.51,17.28,21.94,22.29,17.94,26.29,29.56,,15.49,19.59,9.01,14.41,17.52,113.08,23.92,29.29,3.92,1.63,1.54,10.84,25.45,32.17,9.81,27.61,27.73,17.22,50.13,48.69,9.35,15.99,17.12,591,23.6,412.69,11743.45,905.7,33.3,1941.82,24217.9,952.3,37.2,2607.16,26658.16,,,
DELL EMC,E63S,Multi-node,2,2,16,2048,,2,2,2,8,24,64,32,96,256,AMD,3.1,2.8,2.6,8,8,8,3.2,3.2,3.2,16,16,16,128,256,1024,0,0,0,2,2,2,1600,1600,2000,2,2,2,2,2,2,15.81,29.1,29.85,26.93,7.09,9.03,26.81,27.28,35.63,,31.4,39.13,15.53,26.31,32.37,291.74,50.27,64.42,7.97,6.14,2.07,16.11,25.32,22.44,10.91,9.5,7.2,13.12,16.4,12.73,14.82,18.37,21.52,366.2,31.4,409.39,8179.49,349.1,32.5,625.04,12612.23,457.9,37.5,1495.27,20986.31,,,
DELL EMC,E01B,Blade - Half Chassis,2,8,8,256,8,2,2,2,8,12,18,16,24,36,Intel,2.1,2.2,2.1,4,8,8,2.4,2.4,2.4,4,8,8,16,128,256,2,2,2,0,0,0,1600,1600,1600,2,2,2,2,2,2,12.84,13.96,15.52,16.17,18.66,19.55,16.32,17.98,20.89,,14.08,16.73,12.13,13.72,15.94,17.56,19.8,23.89,11.9,5.92,3.43,22.91,21.25,23.66,48.14,41.24,36.65,640.3,512.1,458.12,18.4,9.54,10.63,336.9,18.4,381.64,6675.82,381.3,23.8,513.72,9344.99,421.1,26.8,685.6,11852.99,4,4,4
DELL EMC,E02B,Blade - Half Chassis,2,8,16,1024,4,2,2,2,8,20,24,32,80,96,Intel,1.8,2.1,3,12,12,12,2.67,2.93,2.67,12,12,12,96,192,384,0,0,0,2,2,2,1600,1600,1600,2,2,2,2,2,2,10.03,14.7,12.48,16.97,24.16,17.87,13.3,20.94,19.14,,12.38,11.15,7.69,13.01,10.58,11.98,20.29,18.29,8.21,5.39,2.29,22.22,29.22,26.79,5.86,5.3,4.88,11.81,10.65,9.14,7.95,11.23,10.08,232.7,16.3,91.59,4311.35,249.9,23.6,283.92,7810.22,295.1,20.4,452.78,11877.85,2,2,2
